[28/04/2012 18:21:36] /a
[28/04/2012 18:22:34] /t
[28/04/2012 18:23:07] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:21] /addskill Bombinha, level
[28/04/2012 18:23:23] /addskill Bombinha, level
[28/04/2012 18:23:23] /addskill Bombinha, level
[28/04/2012 18:23:23] /addskill Bombinha, level
[28/04/2012 18:23:23] /addskill Bombinha, level
[28/04/2012 18:23:23] /addskill Bombinha, level
[28/04/2012 18:23:24] /addskill Bombinha, level
[28/04/2012 18:23:25] /addskill Bombinha, level
[28/04/2012 18:23:25] /addskill Bombinha, level
[28/04/2012 18:23:25] /addskill Bombinha, level
[28/04/2012 18:24:48] /i addon doll
[28/04/2012 18:27:21] /ghost
[28/04/2012 19:49:25] /save
[28/04/2012 19:50:19] /t
[28/04/2012 19:52:02] /a
[28/04/2012 19:52:05] /owner Jaonou
[28/04/2012 19:52:10] /a
[28/04/2012 19:54:15] /save
[28/04/2012 19:55:54] /i 2160
[28/04/2012 20:06:42] /a
[28/04/2012 20:06:44] /a 2
[28/04/2012 20:07:07] /n seller
[28/04/2012 20:07:12] /r
[28/04/2012 20:07:17] /i vip seller
[28/04/2012 20:07:39] /n Vip seller
[28/04/2012 20:09:08] /goto Vinicius The Rullex
[28/04/2012 20:09:12] /save
[28/04/2012 20:09:17] /bc RENICIANDO
[28/04/2012 20:10:26] /t
[28/04/2012 20:21:15] /goto mascote de elite
[28/04/2012 20:21:23] /goto mascote de elite
[28/04/2012 20:21:26] /goto mascote de elite
[28/04/2012 20:21:28] /goto mascote de elite
[28/04/2012 20:21:30] /goto mascote de elite
[28/04/2012 20:21:33] /goto mascote de elite
[28/04/2012 20:21:34] /goto mascote de elite
[28/04/2012 20:21:36] /goto mascote de elite
[28/04/2012 20:21:37] /goto mascote de elite
[28/04/2012 20:21:38] /goto mascote de elite
[28/04/2012 20:21:38] /goto mascote de elite
[28/04/2012 20:21:48] /goto mascote de elite
[28/04/2012 20:41:49] /clean
[28/04/2012 21:09:23] /clean
[28/04/2012 21:12:48] /a 2
[28/04/2012 21:12:57] /n vip seller
[28/04/2012 21:14:44] /i addon doll
[28/04/2012 21:17:59] /a
[28/04/2012 21:18:00] /r
[28/04/2012 21:18:09] /goto vip seller
[28/04/2012 21:38:04] /b reniciando para baixar preço do addon doll, 10 seg vouta
[28/04/2012 21:38:13] /save
[28/04/2012 21:40:13] /bc DUVIDAS HELP
[28/04/2012 21:40:35] /bc . DUVIDAS HELP
[28/04/2012 21:46:42] /b reniciando
[28/04/2012 21:46:44] /save
[28/04/2012 21:47:30] /a 2
[28/04/2012 21:48:08] /t
[28/04/2012 21:57:47] /i backpack
[28/04/2012 21:58:01] /a 2
[28/04/2012 21:58:44] /i 12610
[28/04/2012 21:59:02] /i 2160
[28/04/2012 21:59:03] /i 2160
[28/04/2012 21:59:03] /i 2160
[28/04/2012 21:59:04] /i 2160
[28/04/2012 21:59:04] /i 2160
[28/04/2012 21:59:05] /i 2160
[28/04/2012 21:59:05] /i 2160
[28/04/2012 21:59:05] /i 2160
[28/04/2012 21:59:06] /i 2160
[28/04/2012 21:59:06] /i 2160
[28/04/2012 21:59:07] /i 2160
[29/04/2012 00:07:20] /attr action 13539
[29/04/2012 00:07:31] /attr unique 13539
[29/04/2012 00:07:57] /attr unique 13539
[29/04/2012 00:08:00] /attr action 13539
[29/04/2012 00:18:58] /i vip stone
[29/04/2012 00:20:59] /attr action 13540
[29/04/2012 00:21:11] /attr unique 13540
[29/04/2012 00:21:31] /attr unique 13540
[29/04/2012 00:21:40] /attr action 13541
[29/04/2012 00:21:43] /attr unique 13540
[29/04/2012 00:21:50] /attr unique 13540
[29/04/2012 00:21:56] /attr unique 13540
[29/04/2012 00:22:05] /attr unique 13541
[29/04/2012 00:22:17] /r
[29/04/2012 00:22:31] /i 13539
[29/04/2012 00:22:42] /i 9737
[29/04/2012 00:22:50] /r
[29/04/2012 00:22:59] /attr unique 13540
[29/04/2012 00:23:04] /attr action 13540
[29/04/2012 00:24:59] /attr action 13539
[29/04/2012 00:44:57] /goto Jaonou
[29/04/2012 00:45:00] /goto Jaonou
[29/04/2012 00:45:04] /goto Jaonou
[29/04/2012 00:46:22] /goto goku
[29/04/2012 00:46:25] /goto goku
[29/04/2012 00:46:26] /goto goku
[29/04/2012 00:46:27] /goto goku
[29/04/2012 00:46:28] /goto goku
[29/04/2012 00:46:29] /goto goku
[29/04/2012 00:46:30] /goto goku
[29/04/2012 00:46:35] /goto Jaonou
[29/04/2012 00:46:54] /t
[29/04/2012 00:47:12] /goto Soldadex
[29/04/2012 00:48:38] /goto Soldadex
[29/04/2012 00:48:40] /goto Soldadex
[29/04/2012 00:53:10] /goto goku
[29/04/2012 00:53:47] /goto goku
[29/04/2012 00:55:32] /goto goku
[29/04/2012 01:03:04] /a 10
[29/04/2012 01:03:05] /a 10
[29/04/2012 01:03:33] /kick Jaonou
[29/04/2012 01:29:08] /t
